time,id,station,address,latitude,longitude,location,status,lot,bike,empty,weather,temp,pressure,humidity,wind
2015/9/8 12:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,17,28,No Rain,302.62,1010,58,5.1
2015/9/8 13:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,11,34,No Rain,303.15,1009,58,5.1
2015/9/8 14:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,7,38,No Rain,302.62,1009,55,7.2
2015/9/8 15:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,8,37,No Rain,302.62,1009,62,6.7
2015/9/8 16:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,44,No Rain,302.62,1009,58,6.7
2015/9/8 17:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,3,41,No Rain,301.62,1009,58,6.2
2015/9/8 18:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,2,43,No Rain,300.15,1009,69,5.7
2015/9/8 19:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,25,20,No Rain,299.62,1010,74,5.1
2015/9/8 20:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,15,30,No Rain,299.15,1010,78,5.7
2015/9/8 21:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,6,39,No Rain,298.62,1011,78,6.2
2015/9/8 22:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,7,38,Rain,298.15,1012,83,5.1
2015/9/8 23:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,20,25,Rain,298.52,1012,78,4.1
2015/9/9 00:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,8,37,Rain,298.3,1012,83,4.1
2015/9/9 01:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,6,39,Rain,298.3,1011,78,3.1
2015/9/9 02:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,44,Rain,297.63,1011,83,3.1
2015/9/9 03:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,0,45,Rain,297.63,1011,83,3.6
2015/9/9 04:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,28,17,Rain,297.38,1011,78,4.1
2015/9/9 05:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,30,15,Rain,297.38,1011,78,3.1
2015/9/9 06:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,34,11,No Rain,297.62,1012,78,2.1
2015/9/9 07:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,36,9,No Rain,298.3,1012,73,3.6
2015/9/9 08:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,36,9,No Rain,302.5,1013,65,4.1
2015/9/9 09:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,43,2,No Rain,304,1013,61,6.2
2015/9/9 10:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,27,18,No Rain,303.93,1013,58,6.7
2015/9/9 11:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,38,7,No Rain,304.39,1013,51,5.7
2015/9/9 12:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,41,4,No Rain,305.8,1013,45,6.2
2015/9/9 13:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,27,18,No Rain,305.57,1012,51,6.7
2015/9/9 14:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,11,34,No Rain,305.55,1012,51,6.7
2015/9/9 15:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,2,45,No Rain,304.74,1011,51,6.7
2015/9/9 16:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,2,45,No Rain,303.27,1011,51,4.6
2015/9/9 17:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,2,45,No Rain,302.07,1012,54,6.7
2015/9/9 18:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,3,44,No Rain,299.58,1012,54,5.1
2015/9/9 19:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,2,45,No Rain,298.23,1013,61,5.1
2015/9/9 20:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,2,45,No Rain,297.61,1013,69,2.6
2015/9/9 21:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,2,45,No Rain,297.31,1013,65,3.6
2015/9/9 22:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,46,No Rain,297.09,1014,69,3.1
2015/9/9 23:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,3,44,No Rain,296.26,1014,73,2.6
2015/9/10 00:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,3,45,No Rain,296.26,1014,73,2.6
2015/9/10 01:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,4,43,No Rain,296.57,1014,78,2.6
2015/9/10 02:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,12,35,No Rain,296.33,1014,83,2.6
2015/9/10 03:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,23,24,No Rain,296.58,1013,83,2.6
2015/9/10 04:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,30,17,No Rain,296.39,1013,88,2.1
2015/9/10 05:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,30,17,No Rain,296.33,1013,83,2.6
2015/9/10 06:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,31,16,No Rain,296.68,1013,83,2.6
2015/9/10 07:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,36,12,No Rain,297.05,1014,78,1.5
2015/9/10 08:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,23,25,No Rain,302.16,1014,65,1.5
2015/9/10 09:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,19,29,No Rain,303.72,1014,54,1.5
2015/9/10 10:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,23,25,No Rain,303.72,1014,54,1.5
2015/9/10 11:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,10,38,No Rain,304.17,1014,42,5.7
2015/9/10 12:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,8,40,No Rain,304.64,1014,45,5.1
2015/9/10 13:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,14,34,No Rain,305.22,1013,42,6.7
2015/9/10 14:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,13,35,No Rain,305.16,1013,40,6.2
2015/9/10 15:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,3,45,No Rain,304.63,1012,45,6.2
2015/9/10 16:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,0,48,No Rain,303.62,1012,48,6.7
2015/9/10 17:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,4,44,No Rain,302.52,1011,51,6.2
2015/9/10 18:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,8,39,No Rain,301.33,1011,54,7.7
2015/9/10 19:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,16,32,No Rain,299.83,1011,57,6.2
2015/9/10 20:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,5,43,No Rain,298.78,1012,61,5.1
2015/9/10 21:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,3,45,No Rain,298.01,1012,65,4.6
2015/9/10 22:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,47,No Rain,297,1013,64,5.1
2015/9/10 23:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,47,No Rain,296.84,1013,64,5.1
2015/9/11 00:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,0,48,No Rain,296.06,1013,64,4.1
2015/9/11 01:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,2,46,No Rain,296.07,1012,73,4.1
2015/9/11 02:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,3,45,No Rain,295.85,1012,73,3.6
2015/9/11 03:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,7,41,No Rain,296.07,1012,78,3.1
2015/9/11 04:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,18,30,No Rain,295.56,1012,78,3.1
2015/9/11 05:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,20,28,No Rain,294.73,1012,78,3.1
2015/9/11 06:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,19,29,No Rain,294.97,1011,78,3.6
2015/9/11 07:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,19,29,No Rain,295.32,1011,78,3.1
2015/9/11 08:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,10,38,No Rain,299.67,1012,73,4.1
2015/9/11 09:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,19,29,No Rain,302.33,1012,57,4.1
2015/9/11 10:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,21,27,No Rain,303.73,1012,54,5.7
2015/9/11 11:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,26,22,No Rain,304.65,1012,48,4.1
2015/9/11 12:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,9,39,No Rain,304.98,1011,45,6.2
2015/9/11 13:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,4,44,No Rain,304.65,1011,48,5.7
2015/9/11 14:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,9,38,No Rain,304.57,1010,48,7.2
2015/9/11 15:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,4,44,No Rain,303.03,1009,51,6.7
2015/9/11 16:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,9,39,No Rain,303.36,1009,51,6.7
2015/9/11 17:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,7,40,No Rain,302.3,1009,54,7.2
2015/9/11 18:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,9,38,No Rain,300.5,1009,58,6.2
2015/9/11 19:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,12,35,No Rain,299.06,1010,69,5.1
2015/9/11 20:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,20,28,No Rain,298.52,1010,65,5.7
2015/9/11 21:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,0,48,No Rain,297.76,1011,73,5.1
2015/9/11 22:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,47,No Rain,297.7,1012,73,5.1
2015/9/11 23:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,0,47,No Rain,297.23,1012,73,4.6
2015/9/12 00:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,47,No Rain,297.31,1012,73,4.6
2015/9/12 01:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,47,No Rain,297.02,1011,69,4.1
2015/9/12 02:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,47,No Rain,296.78,1011,69,5.1
2015/9/12 03:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,1,47,No Rain,296.54,1011,73,5.1
2015/9/12 04:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,10,38,No Rain,296.1,1011,73,4.6
2015/9/12 05:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,10,38,No Rain,295.81,1011,73,4.6
2015/9/12 06:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,12,36,No Rain,295.48,1011,78,4.1
2015/9/12 07:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,14,34,No Rain,296.12,1011,78,2.6
2015/9/12 08:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,14,34,No Rain,301.13,1012,74,3.6
2015/9/12 09:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,10,38,No Rain,302.91,1012,61,4.6
2015/9/12 10:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,12,36,No Rain,304.39,1012,58,5.7
2015/9/12 11:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,19,29,No Rain,304.69,1012,55,4.6
2015/9/12 12:21,2,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",25.041,121.556945,Daan Dist.,1,48,17,31,No Rain,304.63,1012,51,6.7
